date,price
2026-01-17,3317.5951896477172
2026-01-17,3315.768166271968
2026-01-18,3317.6127688725096
2026-01-18,3314.965596127312
2026-01-18,3315.88375324341
2026-01-18,3310.9965174506656
2026-01-18,3301.998721913545
2026-01-18,3307.6006046299644
2026-01-18,3302.2881960317573
2026-01-18,3300.4178028229103
2026-01-18,3301.736004271844
2026-01-18,3314.4833167686234
2026-01-18,3310.564545169197
2026-01-18,3314.499129953123
2026-01-18,3313.70148922771
2026-01-18,3305.8665996301697
2026-01-18,3313.9393425904873
2026-01-18,3321.9719501772984
2026-01-18,3324.248475382608
2026-01-18,3320.6324971370022
2026-01-18,3320.6808500477323
2026-01-18,3323.276670606868
2026-01-18,3324.1154189990907
2026-01-18,3332.289950748911
2026-01-18,3332.5447532672893
2026-01-18,3340.1680273939887
